French,English
histoire,history
chercher,search
police,police
pensais,thought
aide,help
demande,request
mois,month
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
parl̩,speak
arriv̩,come
devrait,should
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
place,square
parle,speak
compris,understood
savais,knew
̩taient,were
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donn̩,given
train,train
corps,body
endroit,place
fa̤on,way
̩coute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
c̫t̩,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
esp̬re,hope
eau,water
parti,left
nouvelle,new
boulot,job
arr̻ter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
ch̩rie,sweetheart
gros,large
plut̫t,rather
bureau,office
